article,rev_id
Majah Ha Adrif,1233202991
Haroon al-Afghani,1230459615
Tayyab Agha,1225661708
Khadija Zahra Ahmadi,1234741562
Aziza Ahmadyar,1195651393
Muqadasa Ahmadzai,1235521766
Mohammad Sarwar Ahmedzai,1176429234
Amir Muhammad Akhundzada,1247931713
Nasrullah Baryalai Arsalai,1225385278
Abdul Rahim Ayoubi,1226326055
Ismael Balkhi,1244521219
Abdul Baqi Turkistani,1231655023
Mohammad Ghous Bashiri,1237694188
Jan Baz,1227635806
Bashir Ahmad Bezan,1248505877
Rafiullah Bidar,1197443408
Mohammad Siddiq Chakari,1134129082
Cheragh Ali Cheragh,1193992206
Nasir Ahmad Durrani,988838315
Muhammad Hashim Esmatullahi,949986748
Ezatullah (Nangarhar),1158302291
Aimal Faizi,1185105938
Gajinder Singh Safri,1212323536
Sharif Ghalib,1245967190
Hashmat Ghani Ahmadzai,1207743719
Abdul Ghani Ghani,1227026187
Ghulam Ghaus,1158659195
Ghulam Muhammad Ghobar,1240993642
Mohammad Gul (Helmand Council),1136611354
Sayed Yousuf Halim,1234514565
Rangina Hamidi,1234743111
Sayed Zafar Hashemi,1179137138
Qutbuddin Hilal,1246566795
Mahboba Hoqomal,1243745950
Musa Hotak,1246566804
Mirza Muhammad Ismail,1235165845
Sayed Jalal,1137130537
Said Tayeb Jawad,1248976824
Sayed Jalal Karim,1136614743
Hafizullah Shabaz Khail,1238402857
Masoud Khalili,1246566971
Mohammad Khan (athlete),1247727443
Samoud Khan,1195409073
Baran Khan Kudezai,1176481824
Azizullah Lodin,1247762293
Razaq Mamoon,1227180106
Fazel Ahmed Manawi,1234514379
Moeen Marastial,1246567093
Ahmad Wali Massoud,1221720658
Mohammad Daud Miraki,1227103354
Abdul Sattar Mirzakwal,1145249317
Abdul Karim Misaq,1235405154
Ali Mohammad (politician),1136630194
Nasruddin Mohseni,1136630129
Davood Moradian,1239319380
Zalmai Mujadidi,1223903677
Sardar Mohammad Nadir Naeem,1204109653
Daoud Naji,1247131367
Gholam Rabani Nasher,1136534788
Ghulam Faroq Nijrabi,1136614778
Zabih-U-llah Ghazi Noristani,1136614682
Mohammed Tahir Omar,1185088733
Mohammed Qalamuddin,1178097642
Ghulam Mohammad Rigi,1129192917
Ghulam Hassan Safi,1176507815
Hanifa Safi,1123824802
Mohammed Zia Salehi,1225457074
Abdul Majid Samim,1225425205
Saber Sangar,1227951669
Sayed Nasim Mihanparast,1172646418
Suhail Shaheen,1198363158
Fazal Hadi Shinwari,1242412237
Baktash Siawash,1236603169
Hasan Ali Sultani,1136614726
Mohammad Hashem Taufiqui,1233490009
Pacha Gul Wafadar,1227179979
Wahidullah Waissi,1232389768
Ahmadullah Wasiq,1171042170
Gul Ahmmad Yama,1136614561
Abdul Salam Zaeef,1243758857
Abdul Zahir (Konar Education Minister),1126667481
Mohammed Zaman,1229734414
Ziauddin (Afghan militia leader),1150044800
Qari Ziauddin,1245217124
Abdul Ghafor Zori,1136614520
Ali Pasha of Gusinje,1244421894
Ylli Asllani,1221605713
Azis Tahir Ajdonati,1192928746
Bislim Bajgora,1217284690
Kastriot Berissa,1244463139
Bardhok Biba,1250227174
Kostandin Boshnjaku,1250227994
Spartak Braho,1224650124
Safet Butka,1189442848
Uran Butka,1196422551
Refo Çapari,1222381064
Neritan Ceka,1184807608
Hysni Curri,1198914812
Ibrahim Dalliu,1248264998
Niazi Demi,1209346411
Abdurrahman Dibra,1244008227
Bujar Dida,1222151681
Ahmed Dino,1209165678
Rasih Dino,1180949327
Ferhat Bey Draga,1236738861
Nexhip Draga,1236738502
Aqif Pasha Elbasani,1243882903
Abas Ermenji,1240801210
Qamil Musa Haxhi Feza,1198224146
Themistokli Gërmenji,1241037317
Sabri Godo,1230739582
Mihal Grameno,1226635783
Aćif Hadžiahmetović,1229938943
High Council of Regency,1245450388
Kurt Agë Kadiu,1244486529
Mehmed Kalakula,1145510350
Alfred Karamuço,1098236555
Ibrahim Karbunara,1235824719
Ali Këlcyra,1227369252
Bajram Kelmendi,1237006808
Kristo Kirka,1237950375
Elez Koçi,1174010569
Xhelal Koprëncka,1209148780
Kryeziu family,1236739222
Artur Kuko,1112281132
Xhavid Leskoviku,1180950536
Sabit Lulo,1180950488
Gjon Markagjoni,1227760361
Tefik Mborja,1234673487
Hysni Milloshi,1218412314
Musa Qazimi,1235824584
Mustafa Ndroqi,1198219291
Behxhet Nepravishta,1180949734
Adrian Neritani,1196135017
Sali Nivica,1240539074
Thoma Orologa,1180949774
Bedri Pejani,1220757655
Kadri Prishtina,1198167947
Ymer Prizreni,1215667416
Avni Rustemi,1229276965
Chatin Sarachi,1141930406
Nebi Sefa,1244486537
Eduard Shalsi,1173107489
Ylli Vesel Shehu,1240443327
Athanas Shundi,1220369492
Xhelal Sveçla,1217259369
Mehmet Tahsini,1239924043
Ibrahim Temo,1228151428
Afrim Tole,1241836925
Syreja Vlora,1186986269
Visarion Xhuvani,1135323365
Visar Ymeri,1248230838
Abdyl Ypi,1220281072
Xhezair Zaganjori,1143896123
Menduh Zavalani,1235824554
Abdelkader Zoukh,1250270534
Chaâbane Aït Abderrahim,1234096174
Ali Aoun,1214835889
Basma Azouar,1192088820
Mohamed Seghir Babes,1226280389
Noureddine Bahbouh,1099284595
Lamine Bechichi,1111537825
Aïssa Bekkai,1219685755
Abdelhakim Belabed,1218173615
Mohamed Tarek Belaribi,1241671793
Kamel Beldjoud,1214832676
Aboubakr Belkaid,1176411375
Youcef Belmehdi,1239235131
Mohamed Cherif Belmihoub,1226553342
Mohamed Belouizdad,1169278443
Benaouda Hadj Hacène Bachterzi,1237478919
Souad Bendjaballah,1134649751
Abdelkrim Benmbarek,1245801726
Mohamed Bensalam,1235672021
Fayçal Bentaleb,1217131488
Ahmed Bidani,1212186965
Kamel Bidari,1249963763
Rachid Bladehane,1186319378
Saïd Boualam,1240883461
Rabah Bouaziz,1232492563
Abdeslam Bouchouareb,1203569345
Ibrahim Boughali,1230623499
Yahia Boukhari,1186319308
