,country,region,population,article_title,revision_id,article_quality
0,Afghanistan,SOUTH ASIA,42.4,Majah Ha Adrif,1233202991,Start
1,Afghanistan,SOUTH ASIA,42.4,Haroon al-Afghani,1230459615,B
2,Afghanistan,SOUTH ASIA,42.4,Tayyab Agha,1225661708,Start
3,Afghanistan,SOUTH ASIA,42.4,Khadija Zahra Ahmadi,1234741562,Stub
4,Afghanistan,SOUTH ASIA,42.4,Aziza Ahmadyar,1195651393,Start
5,Afghanistan,SOUTH ASIA,42.4,Muqadasa Ahmadzai,1235521766,Start
6,Afghanistan,SOUTH ASIA,42.4,Mohammad Sarwar Ahmedzai,1176429234,Start
7,Afghanistan,SOUTH ASIA,42.4,Amir Muhammad Akhundzada,1247931713,Start
8,Afghanistan,SOUTH ASIA,42.4,Nasrullah Baryalai Arsalai,1225385278,Start
9,Afghanistan,SOUTH ASIA,42.4,Abdul Rahim Ayoubi,1226326055,Start
10,Afghanistan,SOUTH ASIA,42.4,Ismael Balkhi,1244521219,Start
11,Afghanistan,SOUTH ASIA,42.4,Abdul Baqi Turkistani,1231655023,Stub
12,Afghanistan,SOUTH ASIA,42.4,Mohammad Ghous Bashiri,1237694188,Start
13,Afghanistan,SOUTH ASIA,42.4,Jan Baz,1227635806,Stub
14,Afghanistan,SOUTH ASIA,42.4,Bashir Ahmad Bezan,1248505877,Start
15,Afghanistan,SOUTH ASIA,42.4,Rafiullah Bidar,1197443408,Stub
16,Afghanistan,SOUTH ASIA,42.4,Mohammad Siddiq Chakari,1134129082,Stub
17,Afghanistan,SOUTH ASIA,42.4,Cheragh Ali Cheragh,1193992206,Start
18,Afghanistan,SOUTH ASIA,42.4,Nasir Ahmad Durrani,988838315,Stub
19,Afghanistan,SOUTH ASIA,42.4,Muhammad Hashim Esmatullahi,949986748,Stub
20,Afghanistan,SOUTH ASIA,42.4,Ezatullah (Nangarhar),1158302291,Stub
21,Afghanistan,SOUTH ASIA,42.4,Aimal Faizi,1185105938,Stub
22,Afghanistan,SOUTH ASIA,42.4,Gajinder Singh Safri,1212323536,Stub
23,Afghanistan,SOUTH ASIA,42.4,Sharif Ghalib,1245967190,Start
24,Afghanistan,SOUTH ASIA,42.4,Hashmat Ghani Ahmadzai,1207743719,C
25,Afghanistan,SOUTH ASIA,42.4,Abdul Ghani Ghani,1227026187,Stub
26,Afghanistan,SOUTH ASIA,42.4,Ghulam Ghaus,1158659195,Stub
27,Afghanistan,SOUTH ASIA,42.4,Ghulam Muhammad Ghobar,1240993642,Stub
28,Afghanistan,SOUTH ASIA,42.4,Mohammad Gul (Helmand Council),1136611354,Stub
29,Afghanistan,SOUTH ASIA,42.4,Sayed Yousuf Halim,1234514565,Stub
30,Afghanistan,SOUTH ASIA,42.4,Rangina Hamidi,1234743111,C
31,Afghanistan,SOUTH ASIA,42.4,Sayed Zafar Hashemi,1179137138,Start
32,Afghanistan,SOUTH ASIA,42.4,Qutbuddin Hilal,1246566795,Start
33,Afghanistan,SOUTH ASIA,42.4,Mahboba Hoqomal,1243745950,Stub
34,Afghanistan,SOUTH ASIA,42.4,Musa Hotak,1246566804,Start
35,Afghanistan,SOUTH ASIA,42.4,Mirza Muhammad Ismail,1235165845,C
36,Afghanistan,SOUTH ASIA,42.4,Sayed Jalal,1137130537,Start
37,Afghanistan,SOUTH ASIA,42.4,Said Tayeb Jawad,1248976824,C
38,Afghanistan,SOUTH ASIA,42.4,Sayed Jalal Karim,1136614743,Start
39,Afghanistan,SOUTH ASIA,42.4,Hafizullah Shabaz Khail,1238402857,Start
40,Afghanistan,SOUTH ASIA,42.4,Masoud Khalili,1246566971,GA
41,Afghanistan,SOUTH ASIA,42.4,Mohammad Khan (athlete),1247727443,Stub
42,Afghanistan,SOUTH ASIA,42.4,Samoud Khan,1195409073,Start
43,Afghanistan,SOUTH ASIA,42.4,Baran Khan Kudezai,1176481824,Start
44,Afghanistan,SOUTH ASIA,42.4,Azizullah Lodin,1247762293,Start
45,Afghanistan,SOUTH ASIA,42.4,Razaq Mamoon,1227180106,Start
46,Afghanistan,SOUTH ASIA,42.4,Fazel Ahmed Manawi,1234514379,Start
47,Afghanistan,SOUTH ASIA,42.4,Moeen Marastial,1246567093,Start
48,Afghanistan,SOUTH ASIA,42.4,Ahmad Wali Massoud,1221720658,Start
49,Afghanistan,SOUTH ASIA,42.4,Mohammad Daud Miraki,1227103354,C
50,Afghanistan,SOUTH ASIA,42.4,Abdul Sattar Mirzakwal,1145249317,Stub
51,Afghanistan,SOUTH ASIA,42.4,Abdul Karim Misaq,1235405154,Stub
52,Afghanistan,SOUTH ASIA,42.4,Ali Mohammad (politician),1136630194,Stub
53,Afghanistan,SOUTH ASIA,42.4,Nasruddin Mohseni,1136630129,Start
54,Afghanistan,SOUTH ASIA,42.4,Davood Moradian,1239319380,Stub
55,Afghanistan,SOUTH ASIA,42.4,Zalmai Mujadidi,1223903677,Start
56,Afghanistan,SOUTH ASIA,42.4,Sardar Mohammad Nadir Naeem,1204109653,Stub
57,Afghanistan,SOUTH ASIA,42.4,Daoud Naji,1247131367,Start
58,Afghanistan,SOUTH ASIA,42.4,Gholam Rabani Nasher,1136534788,Stub
59,Afghanistan,SOUTH ASIA,42.4,Ghulam Faroq Nijrabi,1136614778,Stub
60,Afghanistan,SOUTH ASIA,42.4,Zabih-U-llah Ghazi Noristani,1136614682,Start
61,Afghanistan,SOUTH ASIA,42.4,Mohammed Tahir Omar,1185088733,Stub
62,Afghanistan,SOUTH ASIA,42.4,Mohammed Qalamuddin,1178097642,Stub
63,Afghanistan,SOUTH ASIA,42.4,Ghulam Mohammad Rigi,1129192917,Stub
64,Afghanistan,SOUTH ASIA,42.4,Ghulam Hassan Safi,1176507815,Stub
65,Afghanistan,SOUTH ASIA,42.4,Hanifa Safi,1123824802,Stub
66,Afghanistan,SOUTH ASIA,42.4,Mohammed Zia Salehi,1225457074,Stub
67,Afghanistan,SOUTH ASIA,42.4,Abdul Majid Samim,1225425205,Stub
68,Afghanistan,SOUTH ASIA,42.4,Saber Sangar,1227951669,Stub
69,Afghanistan,SOUTH ASIA,42.4,Sayed Nasim Mihanparast,1172646418,Stub
70,Afghanistan,SOUTH ASIA,42.4,Suhail Shaheen,1198363158,Start
71,Afghanistan,SOUTH ASIA,42.4,Fazal Hadi Shinwari,1242412237,GA
72,Afghanistan,SOUTH ASIA,42.4,Baktash Siawash,1236603169,Stub
73,Afghanistan,SOUTH ASIA,42.4,Hasan Ali Sultani,1136614726,Stub
74,Afghanistan,SOUTH ASIA,42.4,Mohammad Hashem Taufiqui,1233490009,Start
75,Afghanistan,SOUTH ASIA,42.4,Pacha Gul Wafadar,1227179979,Stub
76,Afghanistan,SOUTH ASIA,42.4,Wahidullah Waissi,1232389768,C
77,Afghanistan,SOUTH ASIA,42.4,Ahmadullah Wasiq,1171042170,Start
78,Afghanistan,SOUTH ASIA,42.4,Gul Ahmmad Yama,1136614561,Start
79,Afghanistan,SOUTH ASIA,42.4,Abdul Salam Zaeef,1243758857,GA
80,Afghanistan,SOUTH ASIA,42.4,Abdul Zahir (Konar Education Minister),1126667481,Stub
